,time,drug,wm,output,correct,trial
196,1.96,GFC,0.04855310079991709,-1.2318708629311645,0,3
197,1.97,GFC,0.06804526241736254,-0.2631798118914787,0,3
198,1.98,GFC,0.04198728998458202,-0.25281501030414166,0,3
199,1.99,GFC,0.05734204939678214,-1.0403858275219142,0,3
200,2.0,GFC,0.05429836902660264,-0.7899481965506056,0,3
201,2.0100000000000002,GFC,0.04423311441762449,-0.12249616190982102,0,3
202,2.02,GFC,0.04576813275629958,-0.8303321961296604,0,3
203,2.0300000000000002,GFC,0.05376053766440902,-0.3949397028970091,0,3
204,2.04,GFC,0.055197397928486366,-0.1634711934363347,0,3
205,2.05,GFC,0.05827660090292416,-0.04500798714090663,0,3
206,2.06,GFC,0.048092832433498746,-1.268867443744711,0,3
207,2.07,GFC,0.044157110155195634,-0.9732920747522037,0,3
208,2.08,GFC,0.04543425586429486,-1.957158418690248,0,3
209,2.09,GFC,0.06342415436727454,-0.47919062304926885,0,3
210,2.1,GFC,0.0621197992673889,0.009538222755388556,1,3
211,2.11,GFC,0.052611801829385754,0.12493383208846157,1,3
212,2.12,GFC,0.05422531819848009,-0.09493825489289094,0,3
213,2.13,GFC,0.0607971781509208,-0.04317219843327698,0,3
214,2.14,GFC,0.05951114004806364,-0.24775921184761668,0,3
215,2.15,GFC,0.04245403789024484,-0.3490736951674274,0,3
216,2.16,GFC,0.04035924535203874,-0.4355900096460966,0,3
217,2.17,GFC,0.05183339364788434,-0.05674167870249304,0,3
218,2.18,GFC,0.05330073886017613,0.1603505504629406,1,3
219,2.19,GFC,0.057082405161492475,-0.5269831116063087,0,3
220,2.2,GFC,0.04783763798999685,-0.5157380713090532,0,3
221,2.21,GFC,0.05560036828234882,-1.2021525456512612,0,3
222,2.22,GFC,0.06224269266636469,-0.371884272823736,0,3
223,2.23,GFC,0.06289834138168324,0.1801855238066732,1,3
224,2.24,GFC,0.05456261172913101,-0.06527294965886574,0,3
225,2.25,GFC,0.0625723802007998,-0.30205717414875716,0,3
226,2.2600000000000002,GFC,0.061637057691820894,0.17853680293287663,1,3
227,2.27,GFC,0.055485080531961814,-1.673936889605423,0,3
228,2.2800000000000002,GFC,0.04803770648253584,-0.29688322553036695,0,3
229,2.29,GFC,0.047020503815540855,-0.21280468795861093,0,3
230,2.3000000000000003,GFC,0.055599405839388695,-0.7295539116780324,0,3
231,2.31,GFC,0.056234701168588044,-0.306995803030086,0,3
232,2.32,GFC,0.05011361044394898,0.3736622826074719,1,3
233,2.33,GFC,0.06759846075799399,-0.23348237280141462,0,3
234,2.34,GFC,0.046701927419979535,-0.3387370678406262,0,3
235,2.35,GFC,0.05640341222702085,-0.013216988400511553,0,3
236,2.36,GFC,0.05376567920427662,-0.35674262076295427,0,3
237,2.37,GFC,0.054952119905324184,0.12737828013573282,1,3
238,2.38,GFC,0.059699857117679715,-0.9090451635191437,0,3
239,2.39,GFC,0.05025334814936215,-0.14720979238087545,0,3
240,2.4,GFC,0.05579350686142636,-0.4800902808932107,0,3
241,2.41,GFC,0.060024893896319195,-0.37514883337464333,0,3
242,2.42,GFC,0.06841593544330335,-0.35266247774121384,0,3
243,2.43,GFC,0.06278136724265228,-0.748622843010326,0,3
244,2.44,GFC,0.04735701723586782,0.03964198452266368,1,3
245,2.45,GFC,0.06079448684378827,0.14023798185786945,1,3
246,2.46,GFC,0.04928565452912834,-0.8861046869032939,0,3
247,2.47,GFC,0.06193389207527089,-0.12289515397755602,0,3
248,2.48,GFC,0.06181728600577825,-0.5860730337113857,0,3
249,2.49,GFC,0.0504612074093048,-0.3850835384096508,0,3
250,2.5,GFC,0.05802559149630636,-0.45563021137968157,0,3
251,2.5100000000000002,GFC,0.0652463978079561,0.48939947998870464,1,3
252,2.52,GFC,0.07258501262653873,-0.5366151942764361,0,3
253,2.5300000000000002,GFC,0.052430526252956994,-0.3611328792339915,0,3
254,2.54,GFC,0.06524500561641325,-0.47769708971457187,0,3
255,2.5500000000000003,GFC,0.04847554726674112,-0.7607713206696198,0,3
256,2.56,GFC,0.07143047601296759,-0.3418857938328996,0,3
257,2.57,GFC,0.06082539999389303,-0.5984275372949225,0,3
258,2.58,GFC,0.06358625470915427,0.17202259993147542,1,3
259,2.59,GFC,0.05720185430216871,-0.2319392121717147,0,3
260,2.6,GFC,0.04954063344862705,0.06470973968734164,1,3
261,2.61,GFC,0.06868283154438297,-0.7382819941251201,0,3
262,2.62,GFC,0.046387908351986015,-0.09315641532482953,0,3
263,2.63,GFC,0.05667211119019819,-0.46810724907453455,0,3
264,2.64,GFC,0.05427215685977797,-0.6492636979974176,0,3
265,2.65,GFC,0.06391074856750516,0.06730801418389351,1,3
266,2.66,GFC,0.06551427880894015,-0.5829069066985735,0,3
267,2.67,GFC,0.05001624180999811,-0.025702902444367653,0,3
268,2.68,GFC,0.056427556947165766,-0.48438205245471044,0,3
269,2.69,GFC,0.06271866272758837,0.05403237127236661,1,3
270,2.7,GFC,0.06495384255879909,-0.36642508859197126,0,3
271,2.71,GFC,0.06422892890685053,0.023788817817094902,1,3
272,2.72,GFC,0.05762999221980303,-0.8953872230986337,0,3
273,2.73,GFC,0.06613655658595538,-0.8447230067649265,0,3
274,2.74,GFC,0.05164544615063704,-0.34307476063629866,0,3
275,2.75,GFC,0.056236320965323404,0.11471014392975673,1,3
276,2.7600000000000002,GFC,0.04862093550908051,-0.11713311504766422,0,3
277,2.77,GFC,0.06256539971914571,-0.11359738160417143,0,3
278,2.7800000000000002,GFC,0.06050999843579552,0.034560042989413925,1,3
279,2.79,GFC,0.058469791585010755,-0.2872978015208014,0,3
280,2.8000000000000003,GFC,0.05938445316053758,0.2695169527620712,1,3
281,2.81,GFC,0.05978341277091763,-0.47797702955606247,0,3
282,2.82,GFC,0.053397762901689044,0.2244288531909221,1,3
283,2.83,GFC,0.06183682362732131,-0.47254074984481464,0,3
284,2.84,GFC,0.05062244251734477,0.0694056470097549,1,3
285,2.85,GFC,0.042864717956408824,0.37190741648642356,1,3
286,2.86,GFC,0.055676385551420154,0.4564152412927217,1,3
287,2.87,GFC,0.06436717178626106,-0.5413220702332032,0,3
288,2.88,GFC,0.05087947940636285,-0.5470958599739337,0,3
289,2.89,GFC,0.07220034412768321,-0.6523010247994396,0,3
290,2.9,GFC,0.05824018769430574,-1.4642975396584386,0,3
291,2.91,GFC,0.04546689486419064,0.0553817097441582,1,3
292,2.92,GFC,0.05073623797348708,0.45373639488904166,1,3
293,2.93,GFC,0.06141307061252943,-0.13339655377653614,0,3
294,2.94,GFC,0.055420695718459076,-0.26876459977708156,0,3
295,2.95,GFC,0.054145874466100564,0.5424441285482595,1,3
296,2.96,GFC,0.07014053746694471,-0.5192048241415659,0,3
297,2.97,GFC,0.056677688881336785,-1.3934320916536387,0,3
298,2.98,GFC,0.0433332269857172,-0.5054414343989411,0,3
299,2.99,GFC,0.04267974477390239,0.09881536549386177,1,3
300,3.0,GFC,0.03819534977645413,0.0018914732456682681,1,3
301,3.0100000000000002,GFC,0.055431971767596795,-0.43420027759613256,0,3
302,3.02,GFC,0.041412157237573986,-0.24585689012222256,0,3
303,3.0300000000000002,GFC,0.06047345305566236,-0.6260146801725921,0,3
304,3.04,GFC,0.04258757293489212,-0.9805431219394578,0,3
305,3.0500000000000003,GFC,0.044327951752985276,-1.022240629185489,0,3
306,3.06,GFC,0.04306758111435174,-0.4911840255122843,0,3
307,3.0700000000000003,GFC,0.0447845529105785,-0.5956145258973689,0,3
308,3.08,GFC,0.05316667042995185,-0.5261260661402761,0,3
309,3.09,GFC,0.05490299681938293,-0.2323015869185418,0,3
310,3.1,GFC,0.03778751971732777,0.03543481023458367,1,3
311,3.11,GFC,0.052218831437311805,-0.08314120799398977,0,3
312,3.12,GFC,0.04830520151542386,-0.2502048230024204,0,3
313,3.13,GFC,0.04511357588433183,-0.2302163235654373,0,3
314,3.14,GFC,0.04252966825377961,-0.24481393292250894,0,3
315,3.15,GFC,0.04835849735779718,-0.861009022907353,0,3
316,3.16,GFC,0.0454450121124061,0.16143064144051417,1,3
317,3.17,GFC,0.036970815162720536,-0.18064863744221826,0,3
318,3.18,GFC,0.04688662505724313,0.41956639015670594,1,3
319,3.19,GFC,0.03522383851324415,-0.044905357036959234,0,3
320,3.2,GFC,0.05502943956662386,-0.819436309331264,0,3
321,3.21,GFC,0.04009912605807871,0.13693682467436785,1,3
322,3.22,GFC,0.04731833126028724,0.41695135707725656,1,3
323,3.23,GFC,0.04894198076636494,-0.19003789562805903,0,3
324,3.24,GFC,0.04414133690506832,-0.11661654505079534,0,3
325,3.25,GFC,0.04872725333095407,0.03435570889010736,1,3
326,3.2600000000000002,GFC,0.03599994649112676,-0.6595329367396805,0,3
327,3.27,GFC,0.03821590145873865,-0.26871235683547645,0,3
328,3.2800000000000002,GFC,0.048133800037421307,0.22024563716583073,1,3
329,3.29,GFC,0.042701367409491715,0.3423241024972667,1,3
330,3.3000000000000003,GFC,0.030330841233650506,-0.18377399904257244,0,3
331,3.31,GFC,0.03952243956772858,-0.4454371641993432,0,3
332,3.3200000000000003,GFC,0.04239922760168995,0.0666397322345503,1,3
333,3.33,GFC,0.044924452005188034,-0.11825808296633578,0,3
334,3.34,GFC,0.041467584173187105,0.37395017425441435,1,3
335,3.35,GFC,0.027316054655104588,0.46693618763634703,1,3
336,3.36,GFC,0.03308326028396035,-0.8295362413166076,0,3
337,3.37,GFC,0.04884765299373518,-0.5889394617552088,0,3
338,3.38,GFC,0.03698612703870042,-0.8411845490963543,0,3
339,3.39,GFC,0.028286303441265433,0.22453234113937068,1,3
340,3.4,GFC,0.04222715648425689,-1.314759196497455,0,3
341,3.41,GFC,0.0378305876317602,-0.8031152253041579,0,3
342,3.42,GFC,0.03981524392555946,-0.08159581626271908,0,3
343,3.43,GFC,0.03839582637420515,0.07317339837289455,1,3
344,3.44,GFC,0.03396134049960774,0.19845409615490262,1,3
345,3.45,GFC,0.03146094906431279,-0.34323801393952724,0,3
346,3.46,GFC,0.03391215065048976,0.3456691002654865,1,3
347,3.47,GFC,0.03336127603795878,-0.26252387784910836,0,3
348,3.48,GFC,0.03754315544036712,-0.31922809922993156,0,3
349,3.49,GFC,0.034841422740479536,0.34176622803857093,1,3
350,3.5,GFC,0.03500176748185545,-0.9292897015537559,0,3
351,3.5100000000000002,GFC,0.023423154891002,-1.4615542585622279,0,3
352,3.52,GFC,0.03631433591575765,-0.8619223778856778,0,3
353,3.5300000000000002,GFC,0.029638709233961974,-0.5400681712456052,0,3
354,3.54,GFC,0.02554971067369457,0.5043917438067829,1,3
355,3.5500000000000003,GFC,0.01970224135935955,-0.5034239994223838,0,3
356,3.56,GFC,0.030113821725635773,-0.8146893740655554,0,3
357,3.5700000000000003,GFC,0.033037724383834254,-0.3296647791901359,0,3
358,3.58,GFC,0.023413389739635294,-0.568803213825233,0,3
359,3.59,GFC,0.03701162511957724,0.1572240673485863,1,3
360,3.6,GFC,0.028423099422385637,0.3515567814763031,1,3
361,3.61,GFC,0.026973132088488116,-0.626912038921193,0,3
362,3.62,GFC,0.02780573015823171,-0.33258312870394025,0,3
363,3.63,GFC,0.02610287943343559,-0.37257644253446304,0,3
364,3.64,GFC,0.013742884133246909,0.6614717064333994,1,3
